name,symbol,current_price,market_cap,total_volume,price_change_percentage_24h
Bitcoin,btc,72794.0,1456994516915,36159702762.0,0.76878
Ethereum,eth,2235.05,269740740690,15124038503.0,1.49358
Tether,usdt,1.0,184346589196,57618692596.0,0.03828
XRP,xrp,1.35,82828549076,1914883316.0,0.28669
BNB,bnb,605.5,82584416208,692548697.0,0.47982
USDC,usdc,0.999887,78650770998,11581388751.0,-0.00224
Solana,sol,84.27,48402871641,2863618076.0,1.20925
TRON,trx,0.31841,30174512727,454742255.0,-0.39833
Figure Heloc,figr_heloc,1.021,16979398822,23096542.0,-1.2181
Dogecoin,doge,0.093248,14340435962,1227190593.0,0.58493
USDS,usds,0.999858,11544343606,19141239.0,-0.00045
WhiteBIT Coin,wbt,53.0,11309942046,46946328.0,0.86779
Hyperliquid,hype,41.69,9935381157,301413355.0,2.6401
LEO Token,leo,10.14,9337784827,577183.0,0.23841
Cardano,ada,0.252225,9318101002,368947732.0,-0.02389
Bitcoin Cash,bch,441.86,8845834305,158726139.0,-0.24455
Chainlink,link,9.01,6554194923,242850742.0,0.71088
Monero,xmr,337.28,6220194411,105625795.0,-2.15632
Zcash,zec,370.04,6161342832,548091166.0,-0.28217
Ethena USDe,usde,0.999764,5836230143,107452549.0,0.02127
Canton,cc,0.147462,5646916357,9517664.0,-4.20572
Stellar,xlm,0.153797,5089371461,101128077.0,-1.4039
MemeCore,m,2.78,4882707770,11254121.0,5.87089
Dai,dai,0.999717,4423432385,18159498.0,0.03266
Litecoin,ltc,54.6,4206436426,270139349.0,0.04239
USD1,usd1,0.99948,4167879015,1286911184.0,0.02137
PayPal USD,pyusd,0.999951,4007983532,99356356.0,-0.01238
Avalanche,avax,9.28,4005629705,218069438.0,-1.09508
Rain,rain,0.00815852,3902655426,13085887.0,3.82735
Hedera,hbar,0.088055,3813804902,64274096.0,-0.31271
Sui,sui,0.935027,3696739586,323872164.0,0.04382
Shiba Inu,shib,5.93e-06,3494956522,110557093.0,-0.06827
Toncoin,ton,1.31,3252861142,108791842.0,4.72488
Cronos,cro,0.069734,2953203281,9236258.0,0.40021
Circle USYC,usyc,1.12,2682467564,112099.0,
Tether Gold,xaut,4722.43,2643149119,243892868.0,-0.22881
World Liberty Financial,wlfi,0.080367,2552416023,215920509.0,-6.60842
Bittensor,tao,262.94,2523695263,812184124.0,-0.05149
PAX Gold,paxg,4732.03,2402202246,148815634.0,-0.23962
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2393155868,0.0,0.0
Mantle,mnt,0.678633,2224523890,37774957.0,1.57982
Polkadot,dot,1.28,2154465509,101864603.0,-1.26997
Global Dollar,usdg,1.0,2095658576,80907621.0,0.02755
Uniswap,uni,3.14,1988107291,155589575.0,0.08883
Sky,sky,0.078139,1809466911,9619435.0,-0.0537
Falcon USD,usdf,0.997918,1792035765,1972012.0,-0.07593
OKB,okb,84.71,1778988569,13000080.0,1.06164
NEAR Protocol,near,1.34,1736062340,172634151.0,-1.78437
Pi Network,pi,0.166871,1692432662,11883651.0,-0.33716
Aster,aster,0.670243,1646570491,93221892.0,0.99156
